purchase_month,customers,orders,revenue,aov,late_rate,avg_review
2017-01-01,718,749,127276.0,169.93,2.94,4.2
2017-02-01,1628,1651,270783.0,164.01,2.97,4.2
2017-03-01,2507,2545,414217.0,162.76,4.56,4.19
2017-04-01,2274,2303,390812.0,169.7,6.56,4.14
2017-05-01,3477,3544,566337.0,159.8,2.99,4.24
2017-06-01,3075,3134,489871.0,156.31,3.03,4.22
2017-07-01,3791,3861,564236.0,146.14,2.8,4.26
2017-08-01,4112,4191,645294.0,153.97,2.91,4.31
2017-09-01,4083,4150,701077.0,168.93,4.39,4.27
2017-10-01,4417,4478,751117.0,167.73,4.18,4.21
2017-11-01,7182,7288,1153229.0,158.24,12.4,3.99
2017-12-01,5450,5513,843078.0,152.93,7.46,4.09
2018-01-01,6974,7069,1077887.0,152.48,5.7,4.11
2018-02-01,6400,6555,966168.0,147.39,14.13,3.88
2018-03-01,6914,7003,1120598.0,160.02,18.96,3.81
2018-04-01,6744,6798,1132879.0,166.65,4.5,4.21
2018-05-01,6693,6749,1128775.0,167.25,6.56,4.24
2018-06-01,6058,6096,1011449.0,165.92,1.16,4.31
2018-07-01,6097,6156,1027287.0,166.88,3.38,4.32
2018-08-01,6310,6351,985492.0,155.17,6.19,4.31
