cohort_month,cohort_size,rep_30d,rep_90d
2017-01-01,718,2.65,2.92
2017-02-01,1626,1.29,1.6
2017-03-01,2502,1.52,2.24
2017-04-01,2257,1.24,1.86
2017-05-01,3449,1.8,2.49
2017-06-01,3036,1.68,2.5
2017-07-01,3743,1.66,2.16
2017-08-01,4056,1.55,2.34
2017-09-01,4005,1.62,2.5
2017-10-01,4328,1.36,1.99
2017-11-01,7060,1.47,2.03
2017-12-01,5338,0.9,1.52
2018-01-01,6843,1.26,1.9
2018-02-01,6288,1.99,2.59
2018-03-01,6775,1.24,1.7
2018-04-01,6582,0.99,1.61
2018-05-01,6508,0.97,1.55
2018-06-01,5876,0.58,
2018-07-01,5946,0.98,
2018-08-01,6144,,
