customer_state,orders,late_rate,avg_review,avg_delivery_days,state_name,state_label
AL,396,21.46,3.86,24.5,Alagoas,Alagoas (AL)
MA,716,17.46,3.83,21.4,Maranhão,Maranhão (MA)
SE,333,15.32,3.9,21.3,Sergipe,Sergipe (SE)
PI,475,13.89,3.99,19.4,Piauí,Piauí (PI)
CE,1275,13.8,3.94,21.2,Ceará,Ceará (CE)
BA,3251,12.18,3.93,19.3,Bahia,Bahia (BA)
RJ,12312,12.15,3.96,15.2,Rio de Janeiro,Rio de Janeiro (RJ)
PA,942,11.25,3.9,23.7,Pará,Pará (PA)
ES,1993,10.74,4.08,15.7,Espírito Santo,Espírito Santo (ES)
PB,514,10.31,4.08,20.3,Paraíba,Paraíba (PB)
TO,274,9.85,4.15,17.6,Tocantins,Tocantins (TO)
MS,700,9.71,4.16,15.5,Mato Grosso do Sul,Mato Grosso do Sul (MS)
PE,1586,9.71,4.08,18.4,Pernambuco,Pernambuco (PE)
RN,470,9.36,4.14,19.2,Rio Grande do Norte,Rio Grande do Norte (RN)
SC,3536,8.23,4.14,14.9,Santa Catarina,Santa Catarina (SC)
GO,1949,6.52,4.1,15.5,Goiás,Goiás (GO)
MT,885,6.1,4.15,18.0,Mato Grosso,Mato Grosso (MT)
RS,5326,6.1,4.19,15.2,Rio Grande do Sul,Rio Grande do Sul (RS)
DF,2071,5.6,4.14,12.9,Distrito Federal,Distrito Federal (DF)
MG,11312,4.6,4.19,11.9,Minas Gerais,Minas Gerais (MG)
SP,40391,4.5,4.25,8.7,São Paulo,São Paulo (SP)
PR,4901,4.06,4.24,11.9,Paraná,Paraná (PR)
RO,244,2.87,4.16,19.3,Rondônia,Rondônia (RO)
AM,145,2.76,4.24,26.4,Amazonas,Amazonas (AM)
